comparisons,swaps,array_accesses,memory_allocations
4,11,18,0,80446918553625
comparisons,swaps,array_accesses,memory_allocations
4,11,18,0,80510389183541
comparisons,swaps,array_accesses,memory_allocations
4,11,18,0,80576828570833
